univ0019,「こんにちは。わたし≪ユニティちゃん≫」
univ0020,「もうすぐきみに会えるよ」
univ0021,「さあ、きみもはじめよう」
univ0022,「次は、きみの番　だよ」
univ0023,「きみの夢、一緒にかなえよう」
univ0024,「一緒に遊ぼうよ！」
univ0026,「きみも一緒に遊ぼうよ！」
univ0027,「きみも一緒に　どうかな？」
univ0028,「きみの夢、一緒にかなえようよ」
univ1000,「おはよっ！　今日も元気にがんばっていこーっ！」
univ1001,「こんにちは！　お昼はもう食べたのかなっ！？　午後も頑張っていくとしますかっ！」
univ1002,「こんばんは！　今日ももうすぐ終わりだねっ！　何かいいことあったかなっ？　明日も頑張っていこうねっ！」
univ1003,「そんじゃ、始めるとしますか！」
univ1263,「正義は我にありっ！」
univ1264,「戦いの後は、熱々のカレーコロッケよね…はむっ！（と食べるアドリブ）はぁぁん…美味しい〜っ！」
univ1332,「海の日っ！ 海…。あれ、何か忘れてるような…。あーっ！ ミサキチと水着買いに行く約束してたんだった！！(イラスト出す)」
univ1333,「ハッピーバースデーわたしー！ 今日はわたしの誕生日！ ふははは。わたしだってちゃんと成長しているのだよ〜？ 日々のご褒美も含めて何かプレゼントくれちゃってもいいのだよ〜？」
univ1334,「今日は敬老の日。この日になると急にパパがそわそわしだすのよね。まぁ、腰を踏んで肩を叩くくらいはしてあげるけど…」
univ1335,「味覚の秋！ 秋分の日だよ。 わたしの秋は味覚の秋なの！ でもこの街は本当に海しかないから、山に行こうものなら一大旅行なのよね。今年もスーパーで我慢するかぁ…」
univ1340,「クリスマス・イブ！ いやぁ…世の中デコデコですなぁ…。 そっちは雪降ってる？ こっちは今は止んでるけど、先月からすこーしずつ降り始めてるから、シーズン中は期待できるかもね！ あ〜スノボ行きたいな〜！」
univ1341,「メリークリスマース！ サンタこはくちゃんだぞー！ 良い子に開発を続けるみんなにプレゼントだ〜！ (イラスト出す)…うう、恥ずかしい。 いや違うんだよ〜！ これ、ミサキチが作ったんだけど、着ないと、えーと、大変なことするぞっていうから…。に、似合ってなくていいの！ ほらほら、サンタこはくちゃんはおしまい！ 七面鳥食べよ！ ね！」
univ1342,「ほへぇ…(炬燵の中で気抜け) あ、年の瀬だね…。 やっほー。 みかん食べる？ ふは〜… ふぇっ 寝てない、寝てないよ。 今日はちゃんと起きてないと勿体無いもんね〜。 あ〜お年玉楽しみだな〜。 あ、おせんべい食べる？」
univ1343,「お誕生日おめでとう！！ こはくちゃんから素敵なプレゼントをあげちゃうぞ！(イラスト出す) えへへ、また一歩成長しちゃったね！ 今年も一緒にがんばろー！」
